Name,No Race,Native American (self reported),East Asian,African or Af-Am Self Reported,Hispanic,White Self Reported,Other Undefined Race
Martisa,0,0,0,0,1,0,0
Wiley,1,0,0,0,0,1,0
Gonsalves,1,0,0,0,0,0,0
Agrioole,0,0,0,1,0,0,0
Salvant,0,0,0,0,0,0,1
Marchan,0,0,0,0,1,0,0
Burriss,1,0,0,1,0,0,0
Stinson,1,0,1,1,0,0,0
Sommerville,1,0,0,0,0,0,0
Peek,0,0,0,0,0,1,0
Raghubir,1,0,0,0,0,0,0
Peel,1,0,0,0,0,0,0
Bartosh,0,0,0,0,0,1,0
Cimeus,0,0,0,0,0,0,1
Phen,1,0,1,0,0,0,0
Peed,1,0,0,0,0,0,0
Beckwith,1,0,0,0,0,0,0
Luangrath,1,0,2,0,0,0,0
Beceiro,0,0,0,0,1,0,0
Phomhom,1,0,0,0,0,0,0
Cortes-Ostry,0,0,1,0,0,0,0
Fermoselle Herrera,1,0,0,0,0,0,0
Dos Santos,3,0,0,0,0,1,0
Rangasamy,1,0,0,0,0,0,0
Barrameda,0,0,0,0,1,0,0
Harbin,1,0,0,0,0,0,0
Elazar,0,0,0,0,0,1,0
Taw,3,0,0,0,0,0,0
Tar,1,0,0,0,0,0,0
Hernandez Tarrau,0,0,0,0,1,0,0
Kali,0,0,0,0,0,0,1
Candanedo,0,0,0,0,1,0,0
Harralson,0,0,0,0,0,1,0
Rani,0,0,0,0,0,0,1
Perez-Acuna,1,0,0,0,0,0,0
Sahai,1,0,0,0,0,0,0
Aldrich,0,0,0,1,0,1,0
Kalu,1,0,0,0,0,0,0
Peyyety,1,0,0,0,0,0,0
Dugar,0,0,0,1,0,0,0
Tan,5,0,2,0,0,0,0
Tao,2,0,0,0,0,0,0
Landrum,1,0,0,0,0,0,0
Sisson,0,0,0,0,0,1,0
Herlihy,0,0,1,0,0,0,0
Biemister,0,0,1,0,0,0,0
