Name,No Race,Native American (self reported),East Asian,African or Af-Am Self Reported,Hispanic,White Self Reported,Other Undefined Race
Tashon,1,0,0,0,0,0,0
Chantyell,0,0,0,1,0,0,0
Tanameerah,1,0,0,0,0,0,0
Meshann,0,0,0,1,0,0,0
Hollis,1,0,0,0,0,0,0
Lemay,1,0,0,0,0,0,0
Y,22,1,7,9,4,2,1
Jasreal,1,0,0,0,0,0,0
Myekevious,1,0,0,0,0,0,0
Ladatius,1,0,0,0,0,0,0
Va,0,0,1,0,0,0,0
Quanyque,1,0,0,0,0,0,0
Makalyah,1,0,0,0,0,0,0
Abuni,1,0,0,0,0,0,0
Ymani,1,0,0,0,0,0,0
Abrasado,0,0,1,0,0,0,0
Hauser,1,0,0,0,0,0,0
Ming,5,0,5,0,0,0,1
Vy,0,0,1,0,0,0,0
Crocton,0,0,0,0,0,0,1
Radricks,1,0,0,0,0,0,0
MacLane,0,0,0,0,1,0,0
Kugbeadgo,1,0,0,0,0,0,0
Thanh,12,0,10,0,0,0,0
Gwata,1,0,0,0,0,0,0
Acompanado,0,0,1,0,0,0,0
Habteslase,2,0,0,0,0,0,0
Sha'Kem,0,0,0,1,0,0,0
Xai,1,0,0,0,0,0,0
Mo'Nay,1,0,0,0,0,0,0
Yemi,1,0,0,0,0,0,0
La'Jay,1,0,0,0,0,0,0
Dmonshaye,0,0,0,1,0,0,0
Cherilis,1,0,0,0,0,0,0
Ankeeyla-Irene,1,0,0,0,0,0,0
Tarmell,1,0,0,0,0,0,0
Saingilus,1,0,0,0,0,0,0
Gao,1,0,0,0,0,0,0
Ja'Nyle,1,0,0,0,0,0,0
Debu,2,0,0,0,0,0,0
Demtris,0,0,0,1,0,0,0
Krishna,3,0,1,0,0,0,0
D,171,3,9,84,9,27,16
Alamu,0,0,0,1,0,0,0
Mor'Shay,0,0,0,1,0,0,0
Toshionna,1,0,0,0,0,0,0
Boarman,1,0,0,0,0,0,0
Rae'Phalen,1,0,0,0,0,0,0
Imaun,1,0,0,0,0,0,0
Joalmar,0,0,0,1,0,0,0
Alwyne,1,0,0,0,0,0,0
Lentrell,1,0,0,0,0,0,0
Jushuin,0,0,0,1,0,0,0
Deon'Dre,1,0,0,0,0,0,0
Daccus,1,0,0,0,0,0,0
Ara,2,0,0,0,0,0,0
Saforee,1,0,0,0,0,0,0
Salehizzat,1,0,0,0,0,0,0
Rayaart,0,0,0,1,0,0,0
Choniel,1,0,0,0,0,0,0
MacUgay,1,0,0,0,0,0,0
Leenorriss,1,0,0,0,0,0,0
Shaye,3,0,0,0,0,2,0
Ting,1,0,0,0,0,0,0
Lapoarsha,1,0,0,0,0,0,0
Puckett,1,0,0,0,0,0,0
Resean,1,0,0,0,0,0,0
Motakef,1,0,0,0,0,0,0
Chrishon-Terrell,1,0,0,0,0,0,0
Mmek,1,0,0,0,0,0,0
Yeong,1,0,0,0,0,0,0
Ankia,0,0,0,1,0,0,0
Tsuchijima,1,0,0,0,0,0,0
Naguit,1,0,0,0,0,0,0
Donqualis,1,0,0,0,0,0,0
Lamonteja Ellazia,1,0,0,0,0,0,0
Hualos,0,0,0,0,1,0,0
Rae-Dawn,1,0,0,0,0,0,0
Vanderhost,1,0,0,0,0,0,0
Hi,3,0,1,0,0,0,0
Sianee,0,0,0,1,0,0,0
McCann,1,0,0,0,0,0,0
Phomsane,1,0,0,0,0,0,0
Ha,2,0,1,0,0,0,0
Lamone,0,0,0,1,0,0,0
Remy,0,0,0,1,0,0,0
Weldeyohanny,0,0,0,1,0,0,0
Yamir,0,0,0,0,1,0,0
Jacquez-Antwan,1,0,0,0,0,0,0
Alix,1,0,0,0,1,0,0
A'Myabea,1,0,0,0,0,0,0
Kelly-Irene,1,0,0,0,0,0,0
Rhaayi,1,0,0,0,0,0,0
Gantt,1,0,0,0,0,0,0
Kiari-Kanton,1,0,0,0,0,0,0
Grae,1,0,0,0,0,1,0
Chuen,1,0,0,0,0,0,0
Bleu,1,0,0,0,0,0,0
Drewilton,1,0,0,0,0,0,0
StHerphine,1,0,0,0,0,0,0
Jakay,0,0,0,1,0,0,0
Temwa,0,1,0,0,0,0,0
Leshawn,1,0,0,0,0,0,0
Latrel,0,0,0,1,0,0,0
Kartram,0,0,1,0,0,0,0
Emessa,0,0,0,0,0,1,0
Napomaikaimiluna,1,0,0,0,0,0,0
Okebamical,0,0,0,1,0,0,0
Qnee,0,0,0,1,0,0,0
Mirthel,1,0,0,0,0,0,0
Gomez,2,0,0,0,1,0,0
Shawqual,1,0,0,0,0,0,0
U'Mar,0,0,0,1,0,0,0
Hong,8,0,2,0,0,0,0
Deaijhlon,1,0,0,0,0,0,0
Kulagnanam,1,0,0,0,0,0,0
Mykel,1,0,0,0,0,0,0
Niko,1,0,0,0,0,0,0
Tax-Shaun,1,0,0,0,0,0,0
Fei,0,0,0,0,0,0,1
Avain,0,0,0,1,0,0,0
Elanis,0,0,0,0,1,0,0
Emari,1,0,0,0,0,0,0
Yung,1,0,0,0,0,0,0
Brozha,1,0,0,0,0,0,0
Bernell,1,0,0,0,0,0,0
Kabon,1,0,0,0,0,0,0
Lisets,1,0,0,0,0,0,0
Bo'Net,1,0,0,0,0,0,0
Del-Pila,1,0,0,0,0,0,0
Estaris,1,0,0,0,0,0,0
Nduna,1,0,0,0,0,0,0
J'Kearian,0,0,0,1,0,0,0
Konvarji,1,0,0,0,0,0,0
Illyzzabythe,1,0,0,0,0,0,0
Qysigel,1,0,0,0,0,0,0
Azevedo,0,0,0,0,0,2,0
Xaysanavongphet,1,0,0,0,0,0,0
Andreyevich,0,0,0,0,0,1,0
Dyamere,0,0,0,1,0,0,0
Z,9,0,0,6,3,0,2
Ifaniya,0,0,0,1,0,0,0
Alezia-Shondrel,1,0,0,0,0,0,0
Eve-Larue,1,0,0,0,0,0,0
Bellamy,1,0,0,0,0,0,0
Tone,1,0,0,0,0,1,0
Lukusa,1,0,0,0,0,0,0
Da'Zhar,1,0,0,0,0,0,0
Shakeira-Nicole,0,0,0,0,0,0,1
Femi,1,0,0,0,0,0,0
U'Necius,0,0,0,1,0,0,0
Tenilan,0,0,0,1,0,0,0
Da'Joir,1,0,0,0,0,0,0
Gevon,1,0,0,0,0,0,0
Monlesha,1,0,0,0,0,0,0
Nikquan,1,0,0,0,0,0,0
Caguete,1,0,0,0,0,0,0
Leverne,1,0,0,0,0,0,0
Vonte,1,0,0,0,0,0,0
Peasia,1,0,0,0,0,0,0
Niniely,1,0,0,0,0,0,0
Myteiese,1,0,0,0,0,0,0
Kels,0,0,0,1,0,0,0
Ephifane'E,1,0,0,0,0,0,0
Mayes,2,0,0,0,0,0,0
Sin,1,0,0,0,0,0,0
Sim,1,0,0,0,0,0,0
Sil,1,0,1,0,0,0,0
Bakhtiyarovna,1,0,0,0,0,0,0
Trace,1,0,0,0,0,0,0
Mayo,2,0,0,0,0,0,0
Ashlin,1,0,0,0,0,0,0
Zambrano,1,0,0,0,0,0,0
D'Faith,0,0,0,1,0,0,0
Tierre,1,0,0,0,0,0,0
Rauan,1,0,0,0,0,0,0
Kei'Saun,1,0,0,0,0,0,0
Kwonshae,0,0,0,1,0,0,0
Coxe,0,0,0,0,0,1,0
Muthanna,1,0,0,0,0,0,0
E,95,0,1,29,21,22,10
Ludre,1,0,0,0,0,0,0
Bulay,1,0,0,0,0,0,0
Chea,0,0,0,0,0,1,0
Sahod,1,0,0,0,0,0,0
Silasha,1,0,0,0,0,0,0
Chuyen,1,0,0,0,0,0,0
Lvell,0,0,0,1,0,0,0
Asazi,1,0,0,0,0,0,0
De'Montau,1,0,0,0,0,0,0
Qudire,1,0,0,0,0,0,0
Ruthshara,1,0,0,0,0,0,0
Coggeshan,1,0,0,0,0,0,0
Johanllie,0,0,0,0,1,0,0
Mojoyinolaoluwa,1,0,0,1,0,0,0
Ar'Quan,1,0,0,0,0,0,0
Agbeke,0,0,0,0,0,0,1
Markeyl,1,0,0,0,0,0,0
Yulara,0,0,0,0,0,1,0
Duzant,0,0,0,0,0,0,1
Rashon,2,0,0,0,0,0,0
Kunzendorff,0,0,0,0,0,1,0
Lemarck,1,0,0,0,0,0,0
Niaku,1,0,0,0,0,0,0
Tyjae,2,0,0,0,0,0,0
T O,0,0,0,1,0,0,0
Lemontrell,1,0,0,0,0,0,0
Suvannakul,0,0,1,0,0,0,0
Vadize,1,0,0,0,0,0,0
A'Sha'Naye Armani,1,0,0,0,0,0,0
