Name,No Race,Native American (self reported),East Asian,African or Af-Am Self Reported,Hispanic,White Self Reported,Other Undefined Race
Yeneviene,1,0,0,0,0,0,0
Shaubnique,1,0,0,0,0,0,0
Chenirah,1,0,0,0,0,0,0
Kittrell,0,0,0,1,0,0,0
Vilmir,1,0,0,0,0,0,0
Sugdajie,1,0,0,0,0,0,0
Curdaja,1,0,0,0,0,0,0
Faguy,0,0,0,1,0,0,0
Chongson,0,0,1,0,0,0,0
Fazlath,0,0,1,0,0,0,0
Nylivia,0,0,0,1,0,0,0
Ceddranique,1,0,0,0,0,0,0
Bouakeo,1,0,0,0,0,0,0
Taviel,0,0,0,1,0,0,0
Gerbrea,1,0,0,0,0,0,0
Segwill,1,0,0,0,0,0,0
Gracielz,0,0,0,0,1,0,0
Menol,0,0,0,1,0,0,0
Sequoyah,1,1,0,0,0,0,0
Magdhalena,0,0,0,1,0,0,0
Dagonel,0,0,0,0,1,0,0
Ellies,0,0,0,0,1,0,0
Lequan,1,0,0,0,0,0,0
Qindasi,1,0,0,0,0,0,0
Shonnoy,1,0,0,0,0,0,0
Onelsida,1,0,0,0,0,0,0
Jodlie,0,0,0,1,0,0,0
Dontia,2,0,0,0,0,0,0
Jn Menacis,1,0,0,0,0,0,0
Isayiah,0,0,0,1,0,0,0
Lemay,1,0,0,0,0,0,0
Laercis,0,0,0,0,1,0,0
Giya,0,0,0,1,0,0,0
Danzyl,0,0,0,1,0,0,0
Turnael,0,0,0,0,0,0,1
Celyrene,1,0,0,0,0,0,0
Canasie,0,0,0,1,0,0,0
Giyn,1,0,0,0,0,0,0
Isalah,1,0,0,0,0,0,0
Alquim,0,0,0,1,0,0,0
Hanselys,1,0,0,0,0,0,0
Ircha,0,0,0,1,0,0,0
Nahidia,1,0,0,0,0,0,0
Zennola,1,0,0,0,0,0,0
Jagartyben,0,0,1,0,0,0,0
Jewlanda,0,0,0,1,0,0,0
Suddian,0,0,0,0,0,0,1
Obniela,1,0,0,0,0,0,0
Sebastieu,0,0,0,1,0,0,0
Shibly,1,0,0,0,0,0,0
Helodia,0,0,0,0,1,0,0
Malay,1,0,1,0,0,0,0
Ofir,1,0,0,0,0,1,0
Roye,1,0,0,0,0,0,0
Jyquerius,1,0,0,0,0,0,0
Shya,1,0,0,0,0,0,0
Miniurki,1,0,0,0,0,0,0
Kalotcy,1,0,0,0,0,0,0
Vadjiba,1,0,0,0,0,0,0
Velmon,1,0,0,0,0,0,0
Jenska,0,0,0,1,0,0,0
Tyjia,0,0,0,1,0,0,0
Mildrely,0,0,0,0,1,0,0
Centrell,1,0,0,0,0,0,0
Laura-Elena,0,0,0,0,1,0,0
Tautyana,0,0,0,1,0,0,0
Elemise,0,0,0,1,0,0,0
Auret,1,0,0,0,0,0,0
Loraire,1,0,0,0,0,0,0
Chakol,0,0,1,0,0,0,0
Gioja,1,0,0,0,0,0,0
Khedema,1,0,0,0,0,0,0
Avrieana,1,0,0,0,0,0,0
Kanel,1,0,0,1,0,0,0
Thristian,0,0,0,1,0,0,0
Jianping,0,0,1,0,0,0,0
Krishen,0,0,1,0,0,0,0
Tyjomik,1,0,0,0,0,0,0
Deshvaughun,1,0,0,0,0,0,0
Bobbiana,0,0,0,1,0,0,0
Talley,1,0,0,0,0,0,0
Junwoo,1,0,0,0,0,0,0
Mesuaiyne,0,0,0,1,0,0,0
Lusireliz,1,0,0,0,0,0,0
Yiniaris,1,0,0,0,0,0,0
Guerdat,1,0,0,0,0,0,0
Sudhalakshmi,1,0,0,0,0,0,0
Iyan,1,0,0,0,0,0,0
Chanhpheng,1,0,0,0,0,0,0
Jaap-Jan,1,0,0,0,0,0,0
Jayshmarie,0,0,0,0,1,0,0
Jermam,1,0,0,0,0,0,0
Yuhkai,1,0,0,0,0,0,0
Jewels,0,0,0,0,1,0,0
Ramoune,1,0,0,0,0,0,0
Gerbson,1,0,0,0,0,0,0
Louinski,0,0,0,1,0,0,0
Fednerson,0,0,0,1,0,0,0
Antholisha,1,0,0,0,0,0,0
Roopcharrand,1,0,0,0,0,0,0
Hongjin,1,0,0,0,0,0,0
Kok-Tow,1,0,0,0,0,0,0
Izeddine,1,0,0,0,0,0,0
Ausis,1,0,0,0,0,0,0
Deangel,0,0,0,1,0,0,0
Rosangelez,1,0,0,0,0,0,0
Zairon,1,0,0,0,0,0,0
Oates,0,0,0,0,0,1,0
Vindrawatie,0,0,0,0,0,0,1
Rybert,0,0,0,1,0,0,0
Valerliy,1,0,0,0,0,0,0
Sieurooge,1,0,0,0,0,0,0
Lesky,0,0,0,0,1,0,0
Hollis,3,0,0,0,0,0,0
Joh-Lean,1,0,0,0,0,0,0
Ludendorf,0,0,0,1,0,0,0
Yanjun,2,0,0,0,0,0,0
Oraince,0,0,0,0,1,0,0
Taeaoliligo,1,0,0,0,0,0,0
Shakrokh,1,0,0,0,0,0,0
Ydaliah,0,0,0,0,1,0,0
Ingram,0,0,0,0,0,0,1
Martyo,1,0,0,1,0,0,0
Johnell,3,0,0,2,0,0,1
Olfanery,0,0,0,0,1,0,0
Ivelyth,0,0,0,0,1,0,0
Doptun,1,0,0,0,0,0,0
Natawi,1,0,0,0,0,0,0
Elfeo,0,0,0,0,1,0,0
Ferdause,0,0,1,0,0,0,0
O'Meal,1,0,0,0,0,0,0
Sharath,2,0,1,0,0,0,0
Kayal,1,0,0,0,0,0,0
Gesuel,1,0,0,0,0,0,0
Dierre,1,0,0,0,0,0,0
Shu-Ping,0,0,1,0,0,0,0
Thanh,17,0,7,0,0,0,2
Thani,1,0,0,0,0,0,0
Atil,0,0,0,1,0,0,0
Aylania,1,0,0,0,0,0,0
Nadilvah,1,0,0,0,0,0,0
Keogryle,1,0,0,0,0,0,0
Malvis,2,0,0,0,0,0,0
Shaneedah,0,0,0,1,0,0,0
Khausical,0,0,1,0,0,0,0
Whitaker,1,0,0,0,0,0,0
Amibael,0,0,0,0,1,0,0
Pritpalsingh,1,0,0,0,0,0,0
Bhavnaben,1,0,0,0,0,0,0
Souvenir,1,0,0,0,0,0,0
Demtris,1,0,0,0,0,0,0
Kaemen,1,0,0,0,0,0,0
Qingli,0,0,1,0,0,0,0
Alayshah,0,0,0,0,1,0,0
Mariahjh,1,0,0,0,0,0,0
Javonte,7,0,0,4,0,0,0
Lourdemise,1,0,0,0,0,0,0
Devaeio,1,0,0,0,0,0,0
Danahyleen,1,0,0,0,0,0,0
Javonta,2,0,0,0,0,0,0
Juckson,1,0,0,0,0,0,0
Idelgrados,1,0,0,0,0,0,0
Zlyuan,1,0,0,0,0,0,0
Diatheson,1,0,0,0,0,0,0
Arioina,1,0,0,0,0,0,0
Yanan,2,0,0,0,0,0,0
Tralani,0,0,0,1,0,0,0
Yanai,1,0,0,0,0,0,0
Van'Channon,0,0,0,1,0,0,0
Claudie,1,0,0,1,0,0,0
Everlande,1,0,0,0,0,0,0
Seong-Mo,1,0,0,0,0,0,0
Mykeiyah,0,0,0,1,0,0,0
Franssy,0,0,0,0,1,0,0
Brandaegjiah,1,0,0,0,0,0,0
Modeste,0,0,0,1,0,0,0
